Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller,Year,Runtime_Minutes,Rating,Votes,Revenue_Millions,Metascore_adj,Yes_Top,training
1,1,0,0,0,0,0,0,0,0,0,1,0,2014,121,8.1,757074,333.13,7.6,0,1
0,1,0,0,0,0,0,0,0,1,0,1,0,2012,124,7,485820,126.46,6.5,1,1
0,0,0,0,0,0,0,0,1,0,0,0,1,2016,117,7.3,157606,138.12,6.2,1,1
0,0,1,0,1,0,0,0,0,0,0,0,0,2016,108,7.2,60545,270.32,5.9,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,2016,123,6.2,393727,325.02,4,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,2016,103,6.1,56036,45.13,4.2,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,2016,128,8.3,258682,151.06,9.3,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,2016,89,6.4,2490,,7.1,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,2016,141,7.1,7188,8.01,7.8,0,0
0,1,0,0,0,0,1,0,0,0,1,0,0,2016,116,7,192177,100.01,4.1,0,1
0,1,0,0,0,0,0,1,0,0,0,0,0,2016,133,7.5,232072,234.02,6.6,1,0
0,0,0,1,0,0,1,0,0,0,0,0,0,2016,127,7.8,93103,169.27,7.4,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2016,133,7.9,323118,532.17,6.5,0,1
0,1,1,0,1,0,0,0,0,0,0,0,0,2016,107,7.7,118151,248.75,8.1,0,1
1,0,0,0,1,0,1,0,0,0,0,0,0,2016,109,6.4,8612,2.87,7,0,1
0,1,1,0,1,0,0,0,0,0,0,0,0,2016,87,6.6,120259,368.31,6.1,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,2016,139,8.2,211760,67.12,7.1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,2016,123,6.7,150823,162.16,5.8,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,2016,118,8.1,102061,51.69,6.9,0,1
0,0,0,0,0,0,1,0,0,1,0,1,0,2016,116,8,340798,100.5,8.1,1,1
0,1,0,0,0,0,1,0,0,0,0,0,1,2016,120,6.7,19053,7.22,4.9,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,2016,137,7.9,134213,47.7,9.6,0,0
0,0,0,0,0,1,1,0,1,0,0,0,0,2016,108,6.7,1115,,7.2,0,0
0,1,1,0,1,0,0,0,0,0,0,0,0,2016,92,6.5,38552,153.69,5.6,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2016,120,5.3,127553,103.14,3.2,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,2016,83,6.8,222,,,0,1
1,1,0,0,0,0,1,0,0,0,0,0,0,2015,159,8.3,76193,6.5,,0,1
0,0,0,0,0,0,0,0,1,0,0,0,1,2016,99,4.7,523,0.01,,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,2016,100,6.2,66540,113.08,6,0,0
1,1,0,0,0,0,1,0,0,0,0,0,0,2016,115,5.9,112813,54.65,3.6,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,2016,111,6.3,48123,60.31,3.9,0,1
0,0,0,0,0,0,1,0,0,0,0,0,1,2016,116,7.5,126030,10.64,6.7,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2016,144,7.1,275510,155.33,5.2,0,1
1,1,0,0,1,0,0,0,0,0,0,0,0,2016,108,8,627797,363.02,6.5,0,0
1,0,0,0,0,0,0,0,1,0,0,1,0,2016,107,5.6,46165,26.84,4.9,1,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2016,147,7.9,411656,408.08,7.5,0,0
0,1,0,0,0,0,1,0,0,0,0,1,0,2014,169,8.6,1047747,187.99,7.4,1,0
1,1,0,0,0,0,0,1,0,0,0,0,0,2016,115,7.6,293732,232.6,7.2,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,2016,132,6.9,122853,93.38,5.4,1,0
0,0,0,0,1,0,1,0,0,0,0,0,0,2007,113,7.1,241,,,0,1
0,1,1,0,1,0,0,0,0,0,0,0,0,2016,89,6.3,120690,97.66,6.6,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,2016,111,7.5,135095,27.85,9.9,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,2016,73,2.7,496,,,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,2016,115,7.2,37033,12.79,6.6,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,2016,99,6.3,279,4.21,5.7,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,2011,136,6.7,395025,241.06,4.5,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,2016,132,7.3,17818,3.44,6.4,0,0
0,1,0,0,0,0,1,1,0,0,0,0,0,2016,91,5.6,5103,,,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2016,122,7.1,164567,158.8,6.8,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,2016,130,3.7,987,,1.6,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,2015,136,8.1,661608,936.63,8.1,1,0
1,1,0,0,0,0,0,1,0,0,0,0,0,2016,91,5.8,41362,30.35,2.3,0,1
0,0,0,0,1,0,1,0,0,0,0,0,0,2016,118,5.6,20221,32.46,1.8,0,1
1,0,0,0,0,1,0,0,0,0,0,0,1,2014,101,7.2,321933,43,6.8,0,0
1,0,0,0,0,1,1,0,0,0,0,0,0,2008,152,9,1791916,533.32,8.2,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,2016,161,7.3,49190,7.08,7.9,1,1
0,0,0,0,0,1,0,0,1,0,0,0,1,2016,88,7.2,121103,89.21,7.1,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,2016,106,7.4,113322,56.23,5.1,0,0
0,0,0,0,1,0,1,0,0,0,1,0,0,2016,117,7,3739,3.18,7.6,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,2016,96,7.5,137608,125.07,7.4,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2016,151,6.7,472307,330.25,4.4,1,1
0,0,0,0,0,0,0,0,1,1,0,0,1,2016,86,6.8,35870,,6.5,0,1
0,0,0,0,0,1,1,0,0,1,0,0,0,2016,112,6.5,102177,75.31,4.8,0,0
0,0,0,0,0,0,1,0,0,0,1,0,1,2015,125,4.1,244474,166.15,4.6,0,0
0,0,0,0,0,0,1,0,0,1,0,1,0,2006,130,8.5,913152,53.08,6.6,1,1
1,1,0,0,1,0,0,0,0,0,0,0,0,2014,129,7.7,440209,128.25,5.8,0,1
0,0,0,0,0,0,1,0,0,0,0,0,1,2016,133,7.4,39784,31.86,6.9,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,2015,120,8.1,632842,153.63,9,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,2016,106,7.5,291,0.01,6.1,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1,2016,107,7.2,89849,61.28,6.8,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,2016,133,5.9,149791,,4.9,0,1
1,0,0,0,0,0,1,0,0,0,1,0,0,2016,124,7.1,78079,40.07,6,0,1
0,0,0,0,0,0,1,1,0,0,0,0,0,2016,108,7.5,39134,3.73,7.6,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,2016,97,6.8,43977,30.98,2.3,0,1
0,1,1,0,1,0,0,0,0,0,0,0,0,2016,108,8.1,296853,341.26,7.8,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,2007,169,7.1,498821,309.4,5,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,2012,143,8.1,1045588,623.28,6.9,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,2009,153,8.3,959065,120.52,6.9,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,2006,151,7.3,552027,423.03,5.3,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,2016,116,5.3,147717,128.34,6,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2010,148,8.8,1583625,292.57,7.4,1,0
0,0,0,0,1,0,1,0,0,0,0,0,0,2016,118,7.9,105081,5.88,7.2,0,1
0,0,0,1,1,1,0,0,0,0,0,0,0,2013,180,8.2,865134,116.87,7.5,1,1
0,0,0,0,0,1,1,0,0,1,0,0,0,2014,149,8.1,636243,167.74,7.9,1,1
1,0,0,0,0,1,0,0,0,0,0,0,1,2015,137,7.2,301249,350.03,6.7,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2015,124,7,455169,652.18,5.9,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,2016,129,6.4,27869,10.38,4.9,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0,2009,162,7.8,935408,760.51,8.3,0,1
0,0,0,0,0,1,1,0,0,1,0,0,0,2015,187,7.8,341170,54.12,6.8,0,1
1,0,0,0,0,1,1,0,0,0,0,0,0,2016,128,7.4,162122,86.2,5.1,0,1
0,0,0,0,0,1,1,0,0,1,0,0,0,2013,153,8.1,431185,60.96,7.4,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0,2016,123,7,187547,47.17,3.2,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,2011,146,8.1,342429,169.71,6.2,0,0
0,0,0,0,1,1,1,0,0,0,0,0,0,2016,114,7.1,106463,43.02,5.7,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,2015,141,7.4,516895,458.99,6.6,0,1
1,0,0,0,1,1,0,0,0,0,0,0,0,2016,116,7.4,175067,36.25,7,0,1
0,0,1,0,0,0,1,1,0,0,0,0,0,2016,106,8.6,34110,4.68,7.9,0,1
0,0,0,0,0,0,0,0,1,1,0,1,0,2016,90,5.8,9247,0.15,6.2,0,0
0,0,0,0,0,0,1,0,0,1,0,0,1,2016,105,6.3,10181,1.29,7.7,0,1
0,0,0,0,0,1,1,0,0,0,0,0,1,2006,151,8.5,937414,132.37,8.5,1,1
0,0,0,1,0,1,1,0,0,0,0,0,0,2015,132,7,108836,1.87,5.5,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,2011,115,7,570814,181.02,5.7,0,0
0,1,0,0,0,0,1,0,0,0,0,1,0,2015,144,8,556097,228.43,8,1,1
0,0,0,0,0,1,0,0,0,1,0,0,1,2016,106,7.9,7204,,,0,1
1,1,0,0,1,0,0,0,0,0,0,0,0,2015,116,7.3,202973,45.43,5.6,0,1
0,0,0,0,0,1,1,0,0,0,0,0,1,2016,102,7.7,115546,26.86,8.8,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,2016,120,5.4,1954,1.66,4,0,1
1,1,0,0,0,0,1,0,0,0,0,0,0,2016,110,6.3,117590,126.59,4.4,1,1
0,0,0,0,0,0,1,0,0,0,0,0,0,2016,105,5.8,1004,,4.8,0,1
0,0,0,0,0,0,1,0,0,1,0,1,0,2014,108,7.7,339797,25.44,7.8,0,0
1,0,0,0,0,0,0,0,1,0,0,0,1,2016,89,6.3,3712,10.16,4.4,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,2013,134,8.1,486338,56.67,9.6,0,1
0,0,0,0,0,0,0,0,0,0,1,1,0,2016,118,6.1,512,,6.5,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,2006,117,7.7,637104,210.59,5.2,1,1
0,1,0,0,0,0,1,1,0,0,0,0,0,2011,130,8.1,590595,380.96,8.7,1,1
0,0,0,0,1,0,0,0,0,0,0,0,0,2016,105,5.8,30761,54.73,4.2,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,2016,118,6.2,50359,1.33,5.1,0,1
1,0,0,1,0,0,1,0,0,0,0,0,0,2016,161,8.8,48969,11.15,,0,0
0,0,0,0,0,0,1,0,1,1,0,0,0,2016,104,7.2,192968,71.9,7.6,0,1
0,1,1,0,1,0,0,0,0,0,0,0,0,2016,97,7.4,157026,486.29,7.7,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0,2016,127,6.7,101058,87.24,5.7,0,1
0,1,0,0,0,0,0,0,0,1,0,1,0,2014,139,6.7,362093,150.83,4.8,0,0
0,1,0,0,1,0,0,0,0,0,1,0,0,2016,98,6,53183,46.01,5.1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,2016,86,7.4,10428,,,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,2012,164,8.5,1222645,448.13,7.8,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,2016,106,7.5,198243,364,7.7,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,2014,165,5.7,255483,245.43,3.2,1,1
0,1,0,0,0,1,0,0,0,1,0,0,0,2016,96,6.6,69651,38.56,5.8,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,2008,108,6.4,153481,143.7,5.1,0,1
